Date,Open,High,Low,Close
08/10/2022,"0.5140","0.5385","0.5025","0.5353"
08/09/2022,"0.5412","0.5412","0.5052","0.5140"
08/08/2022,"0.5328","0.5494","0.5234","0.5411"
08/07/2022,"0.5165","0.5322","0.5067","0.5322"
08/06/2022,"0.5120","0.5232","0.5116","0.5164"
08/05/2022,"0.4990","0.5191","0.4961","0.5120"
08/04/2022,"0.5104","0.5133","0.4940","0.4990"
08/03/2022,"0.4999","0.5165","0.4894","0.5106"
08/02/2022,"0.5093","0.5150","0.4894","0.4999"
08/01/2022,"0.5330","0.5337","0.5014","0.5091"
07/31/2022,"0.5332","0.5440","0.5205","0.5330"
07/30/2022,"0.5281","0.5542","0.5108","0.5332"
07/29/2022,"0.5197","0.5450","0.5066","0.5281"
07/28/2022,"0.5041","0.5237","0.4891","0.5197"
07/27/2022,"0.4587","0.5115","0.4558","0.5046"
07/26/2022,"0.4953","0.4957","0.4511","0.4586"
07/25/2022,"0.5174","0.5264","0.4809","0.4953"
07/24/2022,"0.4965","0.5357","0.4938","0.5174"
07/23/2022,"0.4787","0.4978","0.4739","0.4952"
07/22/2022,"0.4989","0.5111","0.4775","0.4787"
07/21/2022,"0.4940","0.5040","0.4759","0.4989"
07/20/2022,"0.5202","0.5484","0.4883","0.4940"
07/19/2022,"0.4752","0.5204","0.4730","0.5201"
07/18/2022,"0.4460","0.4990","0.4451","0.4752"
07/17/2022,"0.4523","0.4653","0.4422","0.4460"
07/16/2022,"0.4457","0.4584","0.4320","0.4523"
07/15/2022,"0.4410","0.4530","0.4328","0.4457"
07/14/2022,"0.4201","0.4460","0.4167","0.4406"
07/13/2022,"0.4277","0.4345","0.4043","0.4201"
07/12/2022,"0.4445","0.4480","0.4235","0.4277"
07/11/2022,"0.4665","0.4684","0.4394","0.4445"
07/10/2022,"0.4809","0.4827","0.4550","0.4665"
07/09/2022,"0.4698","0.4843","0.4650","0.4809"
07/08/2022,"0.4761","0.4909","0.4606","0.4698"
07/07/2022,"0.4607","0.4823","0.4595","0.4759"
07/06/2022,"0.4582","0.4618","0.4472","0.4607"
07/05/2022,"0.4585","0.4709","0.4446","0.4583"
07/04/2022,"0.4574","0.4746","0.4444","0.4585"
07/03/2022,"0.4559","0.4606","0.4435","0.4574"
07/02/2022,"0.4514","0.4605","0.4404","0.4559"
07/01/2022,"0.4401","0.4731","0.4395","0.4514"
06/30/2022,"0.4691","0.4718","0.4350","0.4403"
06/29/2022,"0.4760","0.4779","0.4587","0.4691"
06/28/2022,"0.4873","0.4965","0.4701","0.4758"
06/27/2022,"0.5067","0.5078","0.4757","0.4873"
06/26/2022,"0.4896","0.5247","0.4896","0.5067"
06/25/2022,"0.5016","0.5089","0.4786","0.4894"
06/24/2022,"0.4770","0.5066","0.4715","0.5000"
06/23/2022,"0.4618","0.4794","0.4563","0.4771"
06/22/2022,"0.4812","0.4868","0.4580","0.4618"
06/21/2022,"0.4936","0.5100","0.4789","0.4808"
06/20/2022,"0.4841","0.5075","0.4608","0.4951"
06/19/2022,"0.4344","0.4877","0.4344","0.4840"
06/18/2022,"0.4903","0.4942","0.4212","0.4333"
06/17/2022,"0.4857","0.5030","0.4667","0.4910"
06/16/2022,"0.5103","0.5455","0.4781","0.4857"
06/15/2022,"0.4708","0.5298","0.4488","0.5102"
06/14/2022,"0.4796","0.5188","0.4372","0.4712"
06/13/2022,"0.5137","0.5204","0.4369","0.4814"
06/12/2022,"0.5526","0.5701","0.4976","0.5159"
06/11/2022,"0.5800","0.6149","0.5446","0.5526"
06/10/2022,"0.6350","0.6371","0.5722","0.5791"
06/09/2022,"0.6390","0.6565","0.6259","0.6350"
06/08/2022,"0.6327","0.6671","0.6016","0.6404"
06/07/2022,"0.6010","0.6436","0.5720","0.6327"
06/06/2022,"0.5729","0.6442","0.5650","0.6014"
06/05/2022,"0.5608","0.5796","0.5534","0.5739"
06/04/2022,"0.5659","0.5745","0.5447","0.5610"
06/03/2022,"0.5819","0.6041","0.5381","0.5654"
06/02/2022,"0.5475","0.5957","0.5409","0.5820"
06/01/2022,"0.6024","0.6388","0.5389","0.5482"
05/31/2022,"0.5520","0.6872","0.5482","0.6020"
05/30/2022,"0.4744","0.5465","0.4720","0.5459"
05/29/2022,"0.4639","0.4773","0.4560","0.4738"
05/28/2022,"0.4578","0.4659","0.4477","0.4639"
05/27/2022,"0.4810","0.4859","0.4451","0.4589"
05/26/2022,"0.5168","0.5200","0.4636","0.4810"
05/25/2022,"0.5136","0.5317","0.5067","0.5168"
05/24/2022,"0.5266","0.5292","0.4924","0.5136"
05/23/2022,"0.5350","0.5584","0.5170","0.5265"
05/22/2022,"0.5257","0.5472","0.5215","0.5369"
05/21/2022,"0.5141","0.5371","0.5082","0.5258"
05/20/2022,"0.5303","0.5441","0.5010","0.5147"
05/19/2022,"0.5255","0.5450","0.4917","0.5303"
05/18/2022,"0.5652","0.5851","0.5150","0.5255"
05/17/2022,"0.5632","0.5996","0.5516","0.5655"
05/16/2022,"0.5886","0.6112","0.5452","0.5632"
05/15/2022,"0.5181","0.5904","0.5148","0.5889"
05/14/2022,"0.5454","0.5581","0.4886","0.5183"
05/13/2022,"0.4719","0.6029","0.4506","0.5461"
05/12/2022,"0.5025","0.5461","0.3856","0.4739"
05/11/2022,"0.6365","0.6608","0.5000","0.5012"
05/10/2022,"0.6364","0.6995","0.5861","0.6365"
05/09/2022,"0.7525","0.7577","0.6111","0.6371"
05/08/2022,"0.7735","0.7764","0.7256","0.7525"
05/07/2022,"0.7874","0.7902","0.7642","0.7735"
05/06/2022,"0.8013","0.8021","0.7627","0.7874"
05/05/2022,"0.8695","0.9045","0.7735","0.8008"
05/04/2022,"0.7663","0.8782","0.7622","0.8695"
05/03/2022,"0.7745","0.7991","0.7606","0.7640"
05/02/2022,"0.7821","0.7962","0.7643","0.7745"
05/01/2022,"0.7807","0.7999","0.7373","0.7821"
04/30/2022,"0.8021","0.8174","0.7795","0.7805"
04/29/2022,"0.8426","0.8559","0.7900","0.8021"
04/28/2022,"0.8373","0.8519","0.8258","0.8426"
04/27/2022,"0.8302","0.8563","0.8177","0.8373"
04/26/2022,"0.8906","0.9025","0.8176","0.8296"
04/25/2022,"0.8852","0.8922","0.8277","0.8897"
04/24/2022,"0.8985","0.9010","0.8784","0.8852"
04/23/2022,"0.9100","0.9117","0.8828","0.8985"
04/22/2022,"0.9182","0.9242","0.8919","0.9100"
04/21/2022,"0.9412","0.9705","0.9171","0.9185"
04/20/2022,"0.9421","0.9747","0.9308","0.9412"
04/19/2022,"0.9287","0.9563","0.9274","0.9421"
04/18/2022,"0.9430","0.9439","0.8756","0.9284"
04/17/2022,"0.9437","0.9620","0.9386","0.9430"
04/16/2022,"0.9550","0.9617","0.9384","0.9437"
04/15/2022,"0.9322","0.9586","0.9290","0.9550"
04/14/2022,"0.9689","0.9842","0.9237","0.9315"
04/13/2022,"0.9370","0.9786","0.9360","0.9689"
04/12/2022,"0.9428","0.9807","0.9175","0.9370"
04/11/2022,"1.0631","1.0667","0.9344","0.9434"
04/10/2022,"1.0279","1.0684","1.0279","1.0631"
04/09/2022,"1.0490","1.0512","1.0198","1.0277"
04/08/2022,"1.0862","1.0994","1.0439","1.0490"
04/07/2022,"1.0978","1.1018","1.0402","1.0862"
04/06/2022,"1.1897","1.1897","1.0619","1.0978"
04/05/2022,"1.1987","1.2177","1.1810","1.1875"
04/04/2022,"1.1791","1.2431","1.1624","1.1987"
04/03/2022,"1.1600","1.1858","1.1450","1.1791"
04/02/2022,"1.1693","1.1951","1.1500","1.1600"
04/01/2022,"1.1572","1.1740","1.1058","1.1694"
03/31/2022,"1.2020","1.2278","1.1360","1.1572"
