Date,Open,High,Low,Close
08/10/2022,"8.7029","9.2927","8.3117","9.0559"
08/09/2022,"8.6703","8.9369","8.2783","8.7029"
08/08/2022,"8.2787","8.7803","8.2177","8.6703"
08/07/2022,"7.8446","8.3066","7.6644","8.2787"
08/06/2022,"7.6846","8.1044","7.6846","7.8446"
08/05/2022,"7.2916","7.8892","7.2574","7.6846"
08/04/2022,"7.4962","7.5298","7.1800","7.2822"
08/03/2022,"7.2606","7.6347","7.0622","7.4962"
08/02/2022,"7.5685","7.6625","7.0315","7.2606"
08/01/2022,"7.9380","7.9784","7.4206","7.5348"
07/31/2022,"7.8750","8.0845","7.7113","7.9380"
07/30/2022,"8.0253","8.2050","7.6845","7.8750"
07/29/2022,"7.2322","8.1170","7.1147","8.0406"
07/28/2022,"6.7532","7.2900","6.6803","7.2322"
07/27/2022,"6.1815","6.7858","6.1815","6.7532"
07/26/2022,"6.7572","6.7583","6.0890","6.1815"
07/25/2022,"7.0915","7.2386","6.5770","6.7572"
07/24/2022,"6.8132","7.1614","6.7603","7.1050"
07/23/2022,"6.8034","7.0234","6.6081","6.8132"
07/22/2022,"7.0067","7.2858","6.7575","6.8034"
07/21/2022,"6.9273","7.0499","6.6376","7.0067"
07/20/2022,"7.2922","7.5721","6.8380","6.9273"
07/19/2022,"6.7905","7.3499","6.7300","7.2922"
07/18/2022,"6.4027","7.1391","6.3287","6.7905"
07/17/2022,"6.5205","6.7085","6.3224","6.4027"
07/16/2022,"6.3393","6.5317","6.1488","6.5205"
07/15/2022,"6.2863","6.4472","6.1350","6.3393"
07/14/2022,"5.9872","6.3744","5.9872","6.2863"
07/13/2022,"6.0854","6.1587","5.7019","5.9872"
07/12/2022,"6.3068","6.3239","5.9827","6.0854"
07/11/2022,"6.1690","6.4148","6.0731","6.3068"
07/10/2022,"6.4816","6.5304","6.1030","6.1690"
07/09/2022,"6.4646","6.5821","6.3400","6.4816"
07/08/2022,"6.6322","6.8230","6.3293","6.4646"
07/07/2022,"6.3063","6.7430","6.2762","6.6322"
07/06/2022,"6.3632","6.4148","6.1723","6.3132"
07/05/2022,"6.2553","6.5399","6.0518","6.3632"
07/04/2022,"6.2216","6.3818","6.0162","6.2553"
07/03/2022,"6.1834","6.2646","6.0120","6.2216"
07/02/2022,"6.1372","6.2467","5.9816","6.1814"
07/01/2022,"5.9752","6.4100","5.9391","6.1372"
06/30/2022,"6.3226","6.3496","5.8882","5.9808"
06/29/2022,"6.4717","6.5009","6.1242","6.3226"
06/28/2022,"6.5107","7.2239","6.3000","6.4717"
06/27/2022,"7.1845","7.1845","6.4000","6.5107"
06/26/2022,"7.0000","7.4700","6.8632","7.1845"
06/25/2022,"7.2416","7.4198","6.8042","6.9927"
06/24/2022,"6.9480","7.3015","6.8848","7.2155"
06/23/2022,"6.5149","7.0655","6.4784","6.9480"
06/22/2022,"6.8835","7.0094","6.4620","6.5149"
06/21/2022,"6.9751","7.5440","6.7527","6.8781"
06/20/2022,"6.7076","7.2633","6.3103","6.9751"
06/19/2022,"5.5711","6.7993","5.5711","6.7076"
06/18/2022,"6.4233","6.4555","5.4212","5.5695"
06/17/2022,"6.6522","6.7402","6.2511","6.4233"
06/16/2022,"6.9841","7.4862","6.2047","6.6522"
06/15/2022,"6.4888","7.2471","5.8406","6.9841"
06/14/2022,"6.0389","6.7441","5.3848","6.4767"
06/13/2022,"6.6296","6.7217","5.3095","6.0548"
06/12/2022,"7.0818","7.2344","6.4630","6.6671"
06/11/2022,"8.3343","8.3981","7.0385","7.0818"
06/10/2022,"9.2908","9.4919","8.2356","8.3343"
06/09/2022,"8.6064","9.5685","8.4872","9.2908"
06/08/2022,"8.6317","8.9690","8.2349","8.6064"
06/07/2022,"7.7672","8.9780","7.3046","8.6317"
06/06/2022,"7.6481","8.1726","7.6130","7.7672"
06/05/2022,"7.0819","7.8411","7.0819","7.6455"
06/04/2022,"6.8289","7.0915","6.6826","7.0819"
06/03/2022,"7.0801","7.2253","6.6905","6.8289"
06/02/2022,"6.8513","7.1077","6.7966","7.0801"
06/01/2022,"7.5008","7.7484","6.7609","6.8513"
05/31/2022,"7.3735","7.6469","7.1807","7.5008"
05/30/2022,"6.6864","7.3428","6.6268","7.3286"
05/29/2022,"6.4789","6.7338","6.3424","6.6864"
05/28/2022,"6.3772","6.5709","6.2016","6.4789"
05/27/2022,"6.6204","6.7052","6.2200","6.3772"
05/26/2022,"7.0362","7.0723","6.2450","6.6279"
05/25/2022,"7.1514","7.3900","6.9654","7.0362"
05/24/2022,"7.2912","7.3150","6.7222","7.1514"
05/23/2022,"7.2200","7.6624","7.1744","7.2912"
05/22/2022,"7.0234","7.3854","6.9049","7.2200"
05/21/2022,"6.8798","7.1023","6.7698","7.0234"
05/20/2022,"7.1319","7.3396","6.7604","6.8836"
05/19/2022,"7.0124","7.2280","6.6481","7.1249"
05/18/2022,"7.5439","7.7944","6.8574","7.0124"
05/17/2022,"7.4708","7.9502","7.2920","7.5530"
05/16/2022,"7.7955","7.9712","7.1204","7.4708"
05/15/2022,"7.0179","7.8257","6.9805","7.7937"
05/14/2022,"7.1638","7.4194","6.6315","7.0179"
05/13/2022,"6.5140","7.6839","6.2796","7.1726"
05/12/2022,"6.6755","7.3884","5.3100","6.5110"
05/11/2022,"8.5890","8.8328","6.6652","6.6652"
05/10/2022,"8.7274","9.3107","7.8993","8.5890"
05/09/2022,"10.1111","10.2108","8.3472","8.7332"
05/08/2022,"10.6104","10.6104","9.8626","10.1111"
05/07/2022,"10.8284","10.8803","10.5324","10.6104"
05/06/2022,"10.9205","11.0300","10.4088","10.8284"
05/05/2022,"12.0638","12.2718","10.6526","10.9067"
05/04/2022,"11.0120","12.0891","10.9352","12.0638"
05/03/2022,"11.0609","11.4749","10.8110","10.9586"
05/02/2022,"11.1787","11.4408","10.7864","11.0711"
05/01/2022,"11.6137","11.6174","10.6781","11.1761"
04/30/2022,"11.9408","12.2337","11.5109","11.6158"
04/29/2022,"12.7200","12.7400","11.8500","11.9446"
04/28/2022,"12.6497","12.9833","12.3980","12.7200"
04/27/2022,"12.4509","12.7851","12.1626","12.6497"
04/26/2022,"13.3500","13.5043","12.3410","12.4509"
04/25/2022,"13.3425","13.4664","12.5459","13.3500"
04/24/2022,"13.4010","13.6240","13.2255","13.3425"
04/23/2022,"13.7155","13.7490","13.2498","13.4014"
04/22/2022,"13.5821","13.8692","13.3614","13.7155"
04/21/2022,"13.9944","14.3625","13.5468","13.5821"
04/20/2022,"14.0521","14.4800","13.7225","13.9944"
04/19/2022,"13.8657","14.4049","13.8418","14.0521"
04/18/2022,"14.1091","14.1667","13.1525","13.8657"
04/17/2022,"13.9339","14.6100","13.9050","14.1091"
