Date,Open,High,Low,Close
08/10/2022,"1.1769","1.2696","1.1498","1.2650"
08/09/2022,"1.2710","1.2725","1.1579","1.1791"
08/08/2022,"1.2499","1.2861","1.2292","1.2710"
08/07/2022,"1.2394","1.2499","1.2020","1.2499"
08/06/2022,"1.2381","1.2690","1.2242","1.2380"
08/05/2022,"1.1812","1.2539","1.1731","1.2381"
08/04/2022,"1.2113","1.2135","1.1570","1.1812"
08/03/2022,"1.2006","1.2330","1.1530","1.2113"
08/02/2022,"1.2464","1.2714","1.1595","1.2006"
08/01/2022,"1.3902","1.3902","1.2320","1.2423"
07/31/2022,"1.3473","1.4497","1.2804","1.3902"
07/30/2022,"1.3032","1.3859","1.2710","1.3473"
07/29/2022,"1.3451","1.3451","1.2500","1.3032"
07/28/2022,"1.2366","1.3542","1.2297","1.3451"
07/27/2022,"1.0857","1.2412","1.0857","1.2366"
07/26/2022,"1.1631","1.1631","1.0682","1.0848"
07/25/2022,"1.2128","1.2411","1.1257","1.1631"
07/24/2022,"1.1481","1.2679","1.1439","1.2128"
07/23/2022,"1.1637","1.1983","1.1276","1.1481"
07/22/2022,"1.0521","1.1978","1.0380","1.1637"
07/21/2022,"1.0399","1.0605","1.0050","1.0521"
07/20/2022,"1.0715","1.1021","1.0290","1.0399"
07/19/2022,"1.0245","1.0862","1.0245","1.0715"
07/18/2022,"0.9892","1.0675","0.9836","1.0233"
07/17/2022,"0.9986","1.0229","0.9770","0.9892"
07/16/2022,"0.9794","1.0139","0.9517","0.9986"
07/15/2022,"0.9713","0.9913","0.9584","0.9794"
07/14/2022,"0.9192","0.9753","0.9162","0.9713"
07/13/2022,"0.9237","0.9460","0.8898","0.9192"
07/12/2022,"0.9692","0.9693","0.9195","0.9237"
07/11/2022,"1.0070","1.0133","0.9672","0.9692"
07/10/2022,"1.0411","1.0441","0.9970","1.0070"
07/09/2022,"1.0283","1.0467","1.0131","1.0411"
07/08/2022,"1.0288","1.0676","1.0047","1.0283"
07/07/2022,"0.9896","1.0373","0.9888","1.0288"
07/06/2022,"0.9823","0.9962","0.9604","0.9896"
07/05/2022,"0.9679","1.0000","0.9333","0.9823"
07/04/2022,"0.9458","0.9737","0.9190","0.9679"
07/03/2022,"0.9382","0.9473","0.9114","0.9458"
07/02/2022,"0.9245","0.9382","0.9004","0.9382"
07/01/2022,"0.8832","0.9524","0.8832","0.9245"
06/30/2022,"0.9420","0.9474","0.8714","0.8832"
06/29/2022,"0.9607","0.9647","0.9215","0.9420"
06/28/2022,"0.9857","1.0024","0.9522","0.9607"
06/27/2022,"1.0266","1.0266","0.9686","0.9857"
06/26/2022,"0.9963","1.0358","0.9963","1.0266"
06/25/2022,"1.0025","1.0242","0.9710","0.9963"
06/24/2022,"0.9686","1.0184","0.9572","1.0017"
06/23/2022,"0.9249","0.9694","0.9233","0.9686"
06/22/2022,"0.9635","0.9700","0.9193","0.9249"
06/21/2022,"0.9624","1.0026","0.9458","0.9635"
06/20/2022,"0.9686","0.9841","0.9247","0.9624"
06/19/2022,"0.8353","0.9760","0.8353","0.9686"
06/18/2022,"0.9394","0.9483","0.8200","0.8359"
06/17/2022,"0.9326","0.9614","0.8996","0.9382"
06/16/2022,"0.9732","1.0203","0.9105","0.9326"
06/15/2022,"0.9208","0.9777","0.8547","0.9732"
06/14/2022,"0.9483","0.9570","0.8527","0.9208"
06/13/2022,"1.0710","1.0773","0.8783","0.9483"
06/12/2022,"1.1182","1.1346","1.0433","1.0722"
